4	13	Bend Her	5	13	20030720	67
TV Commentator	Welcome,games,3004,Earth,Olympiad,Continuing,network's,tradition,sports,casting,excellence,Celebrity,Ape,Fight,return,week,regular,time
Fry	root,America,countries,learned,food,court
Amy	'bout,guys
Leela	they're,Republic,French,Stereotypes,Everybody,hates
Farnsworth	Oh,let's,check,Hermes,inspiring,multi,culturalism,angrying,blood,Sweden,don't,think
Hermes	stick,touch,Can't
LaBarbara	Husband,haven't,Olympic,class,limbo,er,20,years,Quit,lying,podgy,self
Leela	does,like,Jamaica,able,field,strong,limbo,team
Amy	Yeah,isn't,basically,Jamaicans
Hermes	Jamaicans,interests,limbo,team,got,detained,airport
LaBarbara	That's,begged,husband,step,make,ass,himself
Hermes	said,I'd,try,best
Fry	seen,y'know,physique,old,days
Hermes	described,phone,using,series,artful,euphemisms
Farnsworth	Don't,worry,fat,pig,fine,thanks,flabbo,dynamic,spandex,bodysuit,I've,designed,redistributes,weight,shifting,centre,gravity,closer,knees
Hermes	Ooh,that's,snug,Oh,haven't,descended,years
Farnsworth	that's,limbo,er's,body
LaBarbara	Look,fine,Jamaican,bacon
Bender	Shut,Zoidberg,robot,bending,events,starting,tells,easily,beat,trained,professionals,Wow,guy,like,world's,greatest,bender,dreams,glory,died,began
Zoidberg	Welcome,life
Female Announcer	Athletes,lanes,men's,500,metre,limbo
Barbados Slim	Hermes,Conrad,inside,dumpy,little,fat,man
Hermes	Barbados,Slim,doing,time,heard,Barbados
Barbados Slim	Yes,going,gold,medal,draped,elegant,Caribbean,shoulders
Hermes	body,perfectly,sculpted,20,years,ago,whupped,fat,ass,time,met,today,feel,lucky
Barbados Slim	you're,able,limbo,bar,fashion,sense
Hermes	That's,Barbados,Slim,You've,gone,toke,line
Man	Limbo,ers,marks,rubbery,Limbo
Commentator	Barbados,Slim,takes,early,lead,God,hope,wins,What's,Hermes,Conrad,closing,gap,He's,limbo,ed,retirement,straight,heart,say,hell,Barbados,Slim
Farnsworth	bodysuit
Zoidberg	
Bender	C'mon
LaBarbara	C'mon,Hermes,beat,mahogany,god
Commentator	It's,Barbados,Conrad,Conrad,pulls,ahead,Conrad,disqualified,Barbados,Slim,hero,takes,gold
LaBarbara	Aw,there,Hermes,did,best,I'd,wanted,human,Adonis,husband,I'd,stayed,married,Barbados,Slim
Bender	Hermes,couldn't,win,medal,bending,thing,built,I'm,embarrassed,wish,everybody,dead
Female Announcer	Fembot,bending,competition
Bender	Fembots,Methinks,clever,Manbot,suitably,disguised,win,events,charade,require,subtlety,nuance,grace
